TestIncome,TestLoss,TestMAE,R2,city,split,zero_home,zero_visit,zero_person
random,0.2025718539953231,0.3400092422962188,0.798274040222168,boston,random,True,False,False
1,0.205413207411766,0.3295607566833496,0.7660560607910156,chicago,3,False,False,False
2,0.1895348727703094,0.3100699484348297,0.8113155364990234,chicago,3,False,False,False
4,0.2037602663040161,0.3190846741199493,0.808940052986145,chicago,3,False,False,False
2,0.2203985005617141,0.3467125594615936,0.7685624361038208,london,1,False,False,False
3,0.2523147761821747,0.3684543967247009,0.7545629143714905,london,1,False,False,False
4,0.2516427338123321,0.3705387115478515,0.7559917569160461,london,1,False,False,False
1,0.7574809789657593,0.6827438473701477,0.2486758232116699,hongkong,4,False,True,True
2,0.7574723362922668,0.6809154748916626,0.2361949831247329,hongkong,4,False,True,True
3,0.780595600605011,0.6871450543403625,0.2201058268547058,hongkong,4,False,True,True
2,0.2252701818943023,0.3512006103992462,0.763945996761322,london,1,True,False,False
3,0.2605626285076141,0.3761546313762665,0.7464543581008911,london,1,True,False,False
4,0.2679943144321441,0.3833634555339813,0.7394812107086182,london,1,True,False,False
1,0.4935193061828613,0.5374369025230408,0.4518077671527862,london,4,False,True,True
2,0.5535083413124084,0.5768676996231079,0.4124247431755066,london,4,False,True,True
3,0.6444794535636902,0.6178668737411499,0.3733475804328918,london,4,False,True,True
2,0.730816125869751,0.6800577640533447,0.269197940826416,chicago,1,True,True,False
3,0.7707207798957825,0.6988502144813538,0.2258777618408203,chicago,1,True,True,False
4,0.979665219783783,0.7839050889015198,0.0962411910295486,chicago,1,True,True,False
random,1.0484743118286133,0.8400612473487854,-0.0444512702524662,boston,random,True,True,False
random,0.196745365858078,0.3281548917293548,0.8059244155883789,london,random,False,False,True
2,0.5630413293838501,0.5489134192466736,0.4035007953643799,london,1,False,True,True
3,0.6954947113990784,0.61209636926651,0.3238283395767212,london,1,False,True,True
4,0.7915247082710266,0.6500664353370667,0.2432586103677749,london,1,False,True,True
1,0.2196871638298034,0.3487151563167572,0.7591125965118408,saopaulo,2,True,False,True
3,0.2262770235538482,0.357498824596405,0.7660889625549316,saopaulo,2,True,False,True
4,0.2290845364332199,0.3606533706188202,0.7465445399284363,saopaulo,2,True,False,True
1,0.1995024383068084,0.3277202248573303,0.7823874950408936,london,4,False,False,False
2,0.2055815458297729,0.3359910547733307,0.7840552926063538,london,4,False,False,False
3,0.2211629897356033,0.3463650941848755,0.7848286032676697,london,4,False,False,False
2,1.2105056047439575,0.898218035697937,-0.1970334649085998,boston,1,True,True,False
3,1.320419430732727,0.9366490840911864,-0.3032589852809906,boston,1,True,True,False
4,1.382912516593933,0.9689932465553284,-0.3939020037651062,boston,1,True,True,False
1,0.2214542627334594,0.3534601628780365,0.7563464641571045,saopaulo,3,False,False,True
2,0.2242774963378906,0.3550448417663574,0.760408341884613,saopaulo,3,False,False,True
4,0.2201275527477264,0.3543116450309753,0.7563579082489014,saopaulo,3,False,False,True
1,0.3103723526000976,0.4125220775604248,0.6698435544967651,boston,3,False,False,False
2,0.2585982978343963,0.3729370236396789,0.7446679472923279,boston,3,False,False,False
4,0.2645208835601806,0.3753211796283722,0.7331491112709045,boston,3,False,False,False
1,0.1932488232851028,0.3254030346870422,0.7892226576805115,london,3,False,False,False
2,0.2026896029710769,0.3376721739768982,0.7871133089065552,london,3,False,False,False
4,0.2190928906202316,0.3491726815700531,0.7875035405158997,london,3,False,False,False
2,1.0174646377563477,0.8599376678466797,-0.0059965914115309,boston,1,True,True,True
3,1.0224400758743286,0.861720860004425,-0.0084285801276564,boston,1,True,True,True
4,1.033779501914978,0.865750789642334,-0.0402720235288143,boston,1,True,True,True
random,0.9987967610359192,0.8237823843955994,-0.0003067255020141,saopaulo,random,True,True,True
1,0.2334517389535904,0.3683408796787262,0.7517052292823792,boston,2,False,False,False
3,0.276105672121048,0.3901867568492889,0.7277392745018005,boston,2,False,False,False
4,0.2889073193073272,0.395111620426178,0.7081899046897888,boston,2,False,False,False
1,0.7024027109146118,0.6489772796630859,0.2167263180017471,saopaulo,3,False,True,False
2,0.7081985473632812,0.6507955193519592,0.2409337162971496,saopaulo,3,False,True,False
4,0.5855304002761841,0.5859554409980774,0.3508159518241882,saopaulo,3,False,True,False
2,0.2598725259304046,0.3775855004787445,0.7433117032051086,boston,1,False,False,False
3,0.3162600398063659,0.4134589731693268,0.688207745552063,boston,1,False,False,False
4,0.3138813972473144,0.4129689633846283,0.6828817129135132,boston,1,False,False,False
random,0.5505552291870117,0.5723408460617065,0.4485917687416076,saopaulo,random,False,True,True
1,0.2323968410491943,0.3590308725833893,0.7455767393112183,saopaulo,3,True,False,False
2,0.2344836741685867,0.3600323796272278,0.750114917755127,saopaulo,3,True,False,False
4,0.2284266799688339,0.3600594103336334,0.7469209432601929,saopaulo,3,True,False,False
1,0.1756990104913711,0.3035315573215484,0.8006250858306885,chicago,3,True,False,True
2,0.1696870028972625,0.2963914275169372,0.8310437798500061,chicago,3,True,False,True
4,0.1847414672374725,0.3046965897083282,0.8262940645217896,chicago,3,True,False,True
1,0.2397357076406479,0.3740650713443756,0.7449239492416382,boston,4,True,False,True
2,0.233544036746025,0.3624428808689117,0.7691130042076111,boston,4,True,False,True
3,0.2315068244934082,0.3600677251815796,0.7716513276100159,boston,4,True,False,True
1,1.5396052598953247,1.030302882194519,-0.7373502850532532,saopaulo,4,True,True,False
2,1.2983134984970093,0.9392465353012084,-0.3975691199302673,saopaulo,4,True,True,False
3,1.0518274307250977,0.8360781669616699,-0.0881121307611465,saopaulo,4,True,True,False
1,0.2724546492099762,0.3757248818874359,0.6921946406364441,chicago,4,True,False,False
2,0.196699634194374,0.3234188258647918,0.8042348623275757,chicago,4,True,False,False
3,0.1941214352846145,0.31839320063591,0.805133581161499,chicago,4,True,False,False
1,0.8115792274475098,0.6952555775642395,0.1954282969236374,hongkong,2,False,True,False
3,0.8292359709739685,0.7036231756210327,0.1715770363807678,hongkong,2,False,True,False
4,0.9183074831962584,0.7320430278778076,0.0590863078832626,hongkong,2,False,True,False
1,0.1868590265512466,0.315807044506073,0.7961977124214172,london,3,False,False,True
2,0.1949214339256286,0.3268660604953766,0.7952296733856201,london,3,False,False,True
